REC_ID,REC_TYPE,MAINRECUSE,REC_NAME,PARK_ID,CIVIC_ADDRESS
468,6,GENERAL PLAYGROUND,NELSON WHYNDER ELEMENTARY SCHOOL PARK PLAYGROUND,5149,"979 NORTH PRESTON RD, NORTH PRESTON"
744,6,GENERAL PLAYGROUND,SMOKEY DRIVE ELEMENTARY SCHOOL PARK PLAYGROUND,5047,"241 SMOKEY DR, LOWER SACKVILLE"
745,6,GENERAL PLAYGROUND,ECOLE DU GRAND-PORTAGE PARK PLAYGROUND,5046,"100 STOKIL DR, LOWER SACKVILLE"
987,6,GENERAL PLAYGROUND,KINGSWOOD ELEMENTARY SCHOOL PARK PLAYGROUND,541,"34 VREGE CT, HAMMONDS PLAINS"
558,6,GENERAL PLAYGROUND,ST. CATHERINE'S ELEMENTARY SCHOOL PARK PLAYGROUND,342,"3299 CONNOLLY ST, HALIFAX"
565,6,GENERAL PLAYGROUND,SUN KEY DRIVE PARK PLAYGROUND,5153,"47 SAND KEY DR, EASTERN PASSAGE"
1502,6,GENERAL PLAYGROUND,CARMEL CRESCENT PARK PLAYGROUND,2459,"151 CARMEL CRES, HAMMONDS PLAINS"
575,6,GENERAL PLAYGROUND,IAN FORSYTH ELEMENTARY SCHOOL PARK PLAYGROUND,5056,"22 GLENCOE DR, DARTMOUTH"
875,6,GENERAL PLAYGROUND,LOWER PROSPECT ROAD PARK PLAYGROUND,3209,"2081 LOWER PROSPECT RD, LOWER PROSPECT"
1509,6,GENERAL PLAYGROUND,TANTALLON ELEMENTARY (JUNIOR) PARK PLAYGROUND,4008,"1 FRENCH VILLAGE STATION RD, UPPER TANTALLON"
529,6,GENERAL PLAYGROUND,HARRIETSFIELD ELEMENTARY SCHOOL PARK PLAYGROUND,4020,"1150 OLD SAMBRO RD, HARRIETSFIELD"
1510,6,GENERAL PLAYGROUND,HAMMONDS PLAINS CONSOLIDATED ELEMENTARY SCHOOL PLAYGROUND,4009,"2180 HAMMONDS PLAINS RD, HAMMONDS PLAINS"
675,6,GENERAL PLAYGROUND,ST. STEPHEN'S ELEMENTARY SCHOOL PARK PLAYGROUND,5062,"3669 HIGHLAND AVE, HALIFAX"
553,6,GENERAL PLAYGROUND,JOSEPH GILES ELEMENTARY SCHOOL PARK PLAYGROUND,5050,"54 GREGORY DR, DARTMOUTH"
496,6,GENERAL PLAYGROUND,ATLANTIC MEMORIAL ELEMENTARY SCHOOL PARK PLAYGROUND,3060,"3591 PROSPECT RD, SHAD BAY"
538,6,GENERAL PLAYGROUND,SHATFORD MEMORIAL ELEMENTARY SCHOOL PARK PLAYGROUND,5151,"10089 HWY 3, HUBBARDS"
738,6,GENERAL PLAYGROUND,CAUDLE PARK ELEMENTARY SCHOOL PARK PLAYGROUND,2424,"35 MCGEE DR, LOWER SACKVILLE"
488,6,GENERAL PLAYGROUND,COLONEL JOHN STUART ELEMENTARY SCHOOL PARK PLAYGROUND,5155,"5 JOHN STEWART DR, DARTMOUTH"
913,5,TENNIS,ARMSTRONG COURT PARK TENNIS COURT,4035,
915,5,TENNIS,CASTLE HILL PARK TENNIS COURT,2135,
1152,6,GENERAL PLAYGROUND,ECOLE BOIS-JOLI PARK PLAYGROUND,3588,"211 AVENUE DU PORTAGE, DARTMOUTH"
552,6,GENERAL PLAYGROUND,GEORGE BISSETT ELEMENTARY SCHOOL PARK PLAYGROUND,5035,"170 ARKLOW DR, DARTMOUTH"
710,6,GENERAL PLAYGROUND,D. J. BUTLER PARK PLAYGROUND,2162,"99 FLAMINGO DR, HALIFAX"
461,6,GENERAL PLAYGROUND,BEAVERBROOK PARK PLAYGROUND,491,"6 RICHARD ST, ELMSDALE"
465,6,GENERAL PLAYGROUND,EAST ST. MARGARET'S CONSOLIDATED SCHOOL PARK PLAYGROUND,5163,"8671 PEGGYS COVE RD, INDIAN HARBOUR"
531,6,GENERAL PLAYGROUND,LAKE OF THE WOODS PARK PLAYGROUND,3243,"119 SILVER BIRCH DR, HUBLEY"
959,5,BASKETBALL FULL COURT,LAURIE LIVELY PARK BASKETBALL COURT,534,
962,5,BASKETBALL FULL COURT,WALLACE LUCAS COMMUNITY CENTRE BASKETBALL COURT,479,
1194,5,BASKETBALL FULL COURT,ELLENVALE SCHOOL,5054,
827,5,TENNIS,BLUEBIRDS MEMORIAL TENNIS COURTS,4026,
386,5,BASKETBALL FULL COURT,UPPER HAMMONDS PLAINS RECREATION CENTRE BASKETBALL,5156,
424,6,GENERAL PLAYGROUND,SAMUEL R. BALCOM COMMUNITY CENTRE PARK PLAYGROUND,332,"25718 HWY 7, PORT DUFFERIN"
464,6,GENERAL PLAYGROUND,BUCKINGHAM COMMON PARK PLAYGROUND,178,"175 BUCKINGHAM DR, STILLWATER LAKE"
467,6,GENERAL PLAYGROUND,GUY & IRENE TUCKER PARK PLAYGROUND,414,"23 DENFORD RD, WHITES LAKE"
760,5,BASKETBALL FULL COURT,MERV SULLIVAN PARK BASKETBALL COURT,1864,
1641,5,NON STANDARD COURT,WAVERLEY MEMORIAL ELEMENTARY SCHOOL PARK BASKETBALL HOOP,5147,
1650,5,TENNIS,CENTRAL SPRYFIELD ELEMENTARY SCHOOL PARK TENNIS COURT,4022,
395,6,GENERAL PLAYGROUND,CONROD BEACH ROAD PARK PLAYGROUND,649,"5 CONROD BEACH RD, EAST CHEZZETCOOK"
851,5,TENNIS,MOUNT EDWARD ROAD PARK TENNIS COURT,746,
889,5,HORSESHOE PIT,NORTHCLIFFE RECREATION PARK HORSESHOE PIT,464,
906,5,TENNIS,NORTHBROOK PARK TENNIS COURTS,119,
650,6,GENERAL PLAYGROUND,STANLEY I. RAINE PARK PLAYGROUND,1554,"131 BROMLEY RD, HALIFAX"
949,5,TENNIS,METROPOLITAN AVENUE PARK TENNIS COURT,2545,
952,5,BASKETBALL FULL COURT,SACKVILLE SPORTS STADIUM BASKETBALL COURT,468,
1003,5,TENNIS,ROBERTSON PARK TENNIS COURT,511,
427,6,GENERAL PLAYGROUND,SHEET HARBOUR ELEMENTARY SCHOOL PARK PLAYGROUND,5118,"479 CHURCH POINT RD, SHEET HARBOUR"
543,6,GENERAL PLAYGROUND,SHERWOOD STREET PARK PLAYGROUND,3602,"160 SHREWSBURY RD, COLE HARBOUR"
546,6,GENERAL PLAYGROUND,INGLEWOOD CRESCENT PARK PLAYGROUND,496,"43 INGLEWOOD CRES, COLE HARBOUR"
1021,5,BALL HOCKEY,QUINTIN SILAS PATTERSON MEMORIAL PARK BALL HOCKEY,3396,
585,6,GENERAL PLAYGROUND,LANDRACE CRESCENT PARK PLAYGROUND,158,"671 PORTLAND ST, DARTMOUTH"
1517,6,GENERAL PLAYGROUND,ST. MARGARET'S BAY ELEMENTARY SCHOOL PARK PLAYGROUND,5009,"24 RIDGEWOOD DR, HEAD OF ST MARGARETS BAY"
624,6,GENERAL PLAYGROUND,SOUTH WOODSIDE SCHOOL PARK PLAYGROUND,339,"5 EVERETTE ST, DARTMOUTH"
629,6,GENERAL PLAYGROUND,WHIMSICAL LAKE PARK PLAYGROUND,1360,"17 MABOU AVE, HALIFAX"
423,6,GENERAL PLAYGROUND,EASTERN CONSOLIDATED ELEMENTARY SCHOOL PARK PLAYGROUND,272,"28875 HWY 7, MOSER RIVER"
971,7,SPRAY POOL,ISLEVILLE PARK SPRAY PARK,1628,
1157,7,POOL (OUTDOOR),ST. MARGARET'S BAY CENTRE SWIMMING POOL,2526,
1660,7,SPRAY POOL,KINSMEN PARK SPLASH PAD,2393,
1158,8,RUNNING TRACK,BEAZLEY PARK SPORTS TRACK,30,
554,6,GENERAL PLAYGROUND,SETTLE LAKE PARK PLAYGROUND,81,"355 POPLAR DR, DARTMOUTH"
1572,8,RUNNING TRACK,COLE HARBOUR COMMON RUNNING TRACK,104,
326,2,BASEBALL,BROOKSIDE JUNIOR HIGH SCHOOL PARK BALL DIAMOND #1,208,
1632,11,OUTDOOR GYM,GORDON R. SNOW COMMUNITY CENTRE PARK OUTDOOR GYM,2561,
151,2,BASEBALL,BEAVER BANK KINSAC ELEMENTARY SCHOOL PARK BALL DIAMOND #2,5161,
134,2,BASEBALL,SPRINGFIELD LAKE RECREATION PARK BALL DIAMOND #1,473,
41,2,BASEBALL,RIVERVIEW PAYZANT BALL DIAMOND #2,0,
215,1,Playfield (Non-regulation),TAMARACK HILLS PARK PLAYFIELD,2738,
579,6,GENERAL PLAYGROUND,BARENG COURT PARK PLAYGROUND,202,"31B BARENG CT, DARTMOUTH"
288,2,BASEBALL,LARRY O'CONNELL PARK BALL DIAMOND,1693,
899,5,TENNIS,FAIRVIEW JR HIGH TENNIS COURT,4033,
1682,5,VOLLEYBALL,DARTMOUTH COMMON VOLLEYBALL COURT,379,
912,5,BALL HOCKEY,DOUG KNICKLE MULTI PURPOSE SPORTSCOURT,2,
1031,2,BASEBALL,JOHN GRANT PARK BALL DIAMOND,621,
1565,5,NON STANDARD COURT,SAMBRO ELEMENTARY SCHOOL PARK BASKETBALL HOOPS,4019,
1774,6,GENERAL PLAYGROUND,MURRAY WARRINGTON PARK PLAYGROUND,1589,"2346 BRUNSWICK ST, HALIFAX"
1566,5,BASKETBALL FULL COURT,HARRY R. HAMILTON ELEMENTARY SCHOOL PARK BASKETBALL COURT,5020,
1571,5,NON STANDARD COURT,SYLVANIA TERRACE PARK BASKETBALL HOOP,2761,
1634,5,BASKETBALL FULL COURT,CHARLES P. ALLEN HIGH SCHOOL PARK BASKETBALL COURT,5216,
691,6,GENERAL PLAYGROUND,EAGLEWOOD ELEMENTARY SCHOOL PARK PLAYGROUND,5102,"210 EAGLEWOOD DR, BEDFORD"
617,6,GENERAL PLAYGROUND,NORTH WOODSIDE COMMUNITY CENTRE PLAYGROUND,463,"230 PLEASANT ST, DARTMOUTH"
713,6,GENERAL PLAYGROUND,NINE MILE DRIVE PARK PLAYGROUND,367,"559 NINE MILE DR, BEDFORD"
774,5,BASKETBALL FULL COURT,PO2 CRAIG BLAKE MEMORIAL PARK BASKETBALL COURT,220,
412,6,GENERAL PLAYGROUND,ECOLE DES BEAUX-MARAIS PARK PLAYGROUND,5158,"5261 HWY 7, PORTERS LAKE"
449,6,GENERAL PLAYGROUND,BELL PARK ACADEMIC CENTRE PARK PLAYGROUND,5128,"4 THOMAS ST, LAKE ECHO"
600,6,GENERAL PLAYGROUND,GERALD B. GRAY PARK PLAYGROUND,5150,"10 MONIQUE AVE, DARTMOUTH"
964,5,BASKETBALL FULL COURT,MILLWOOD COMMON PARK BASKETBALL COURT,151,
1004,5,BASKETBALL FULL COURT,RYAN ROSEN PARK BASKETBALL COURT,2570,
1055,5,BASKETBALL FULL COURT,PORTERS LAKE COMMUNITY CENTRE BASKETBALL COURT,465,
1573,7,BEACH,MALAY FALLS BEACH,5174,
1578,7,BEACH,KINAP CANOE CLUB BEACH,810,
1661,7,BEACH,DINGLE BEACH,6,
377,9,GENERAL CAMPGROUND,SHUBIE PARK CAMPSITE,133,
1609,11,OUTDOOR GYM,THE BIRCHES PARK OUTDOOR GYM,13,
630,6,GENERAL PLAYGROUND,JOLLIMORE PARK PLAYGROUND,161,"49 ALBION RD, HALIFAX"
644,6,GENERAL PLAYGROUND,EDWARD DRILLIO PARK PLAYGROUND,154,"80 DOWNS AVE, HALIFAX"
656,6,GENERAL PLAYGROUND,ECOLE BEAUFORT PARK PLAYGROUND,4011,"6166 WATT ST, HALIFAX"
657,6,GENERAL PLAYGROUND,FULLER TERRACE PARK PLAYGROUND,170,"2698 FULLER TERR, HALIFAX"
679,6,GENERAL PLAYGROUND,DUC D'ANVILLE SCHOOL PARK PLAYGROUND,4030,"12 CLAYTON PARK DR, HALIFAX"
690,6,GENERAL PLAYGROUND,FORT SACKVILLE SCHOOL PARK PLAYGROUND,4039,"21 PERTH ST, BEDFORD"
676,6,GENERAL PLAYGROUND,MONTGOMERY COURT PARK PLAYGROUND,1890,"38 MONTGOMERY CRT, HALIFAX"
1000,6,GENERAL PLAYGROUND,MORNINGTON COURT PARK PLAYGROUND,1182,"26 MORNINGTON CRT, FALL RIVER"
1422,5,NON STANDARD COURT,SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL PARK BASKETBALL COURT,329,
1441,5,NON STANDARD COURT,FIVE BRIDGES JUNIOR HIGH SCHOOL PARK BASKETBALL HOOP,5049,
867,5,BASKETBALL FULL COURT,MUNROE PARK BASKETBALL COURT,532,
230,5,BASKETBALL FULL COURT,ROACHES POND PARK BASKETBALL COURT,1407,
788,5,TENNIS,PINE STREET PARK TENNIS COURT,997,
753,5,BASKETBALL FULL COURT,PARK WEST SCHOOL PARK BASKETBALL COURT,5005,
830,5,BASKETBALL FULL COURT,OXFORD SCHOOL PARK BASKETBALL COURT,4027,
1058,5,NON STANDARD COURT,DEEPRUN DRIVE PARK BASKETBALL HOOP,2965,
756,5,NON STANDARD COURT,STRATFORD WAY PARK BASKETBALL COURT,1923,
840,5,BASKETBALL FULL COURT,BROMPTON ROAD PARK BASKETBALL COURT,180,
802,5,LACROSSE,GORSEBROOK PARK LACROSSE COURT,344,
1013,5,BASKETBALL FULL COURT,WINSLOW DRIVE PARK BASKETBALL COURT,2525,
996,5,NON STANDARD COURT,EARLS ROAD PARK BASKETBALL HOOP,15,
999,5,NON STANDARD COURT,LAKEVIEW PARK BASKETBALL HOOP,2224,
1120,5,BALL HOCKEY,BENNETT PARK BALL HOCKEY COURT,493,
1043,5,BASKETBALL FULL COURT,LAKE ECHO COMMUNITY PLAY PARK BASKETBALL COURT,1238,
1047,5,BASKETBALL FULL COURT,GRAND DESERT PARK BASKETBALL COURT,652,
1206,5,NON STANDARD COURT,SEASIDE ELEMENTARY SCHOOL BASKETBALL COURT,484,
686,5,BASKETBALL FULL COURT,GLENBOURNE PARK BASKETBALL COURT,1969,
1545,5,HORSESHOE PIT,FINDLAY COMMUNITY CENTRE PARK HORSESHOE PIT,443,
1121,5,BASKETBALL FULL COURT,DOHERTY DRIVE PARK BASKETBALL COURT,795,
1061,5,HORSESHOE PIT,GRAVES OAKLEY MEMORIAL PARK HORSESHOE PIT,168,
648,6,GENERAL PLAYGROUND,LEO LANIGAN PARK PLAYGROUND,1542,"68 SUNSET DR, GLEN HAVEN"
666,6,GENERAL PLAYGROUND,KENNETH WALKER PARK PLAYGROUND,514,"3221 ROMANS AVE, HALIFAX"
855,6,GENERAL PLAYGROUND,PORTLAND HILLS DRIVE PLAYGROUND,5006,"149 PORTLAND HILLS DR, DARTMOUTH"
634,6,GENERAL PLAYGROUND,REGATTA POINT PARK PLAYGROUND,26,"110 SPINNAKER DR, HALIFAX"
687,6,GENERAL PLAYGROUND,REMINGTON COURT PARK PLAYGROUND,1976,"29 REMINGTON CRT, HALIFAX"
1531,6,GENERAL PLAYGROUND,SCHWARZWALD PARK PLAYGROUND,5130,"291 HOWE AVE, FALL RIVER"
717,6,GENERAL PLAYGROUND,SYCAMORE LANE ELEMENTARY SCHOOL PARK PLAYGROUND,5075,"69 SYCAMORE LN, LOWER SACKVILLE"
409,6,GENERAL PLAYGROUND,TAYLOR DRIVE PARK PLAYGROUND,2652,"190 TAYLOR DR, WINDSOR JUNCTION"
923,6,GENERAL PLAYGROUND,TRANSOM DRIVE PARK PLAYGROUND,3410,"195 TRANSOM DR, HALIFAX"
440,6,GENERAL PLAYGROUND,WILLIAM KING ELEMENTARY SCHOOL PARK PLAYGROUND,5090,"91 ST PAULS AVE, HERRING COVE"
492,6,GENERAL PLAYGROUND,ASTRAL DRIVE ELEMENTARY & JUNIOR HIGH SCHOOL PARK PLAYGROUND,5022,"236 ASTRAL DR, DARTMOUTH"
1010,6,GENERAL PLAYGROUND,ST. ANDREW'S PARK PLAYGROUND,2731,"11 CARMEL CRES, FALL RIVER"
628,6,GENERAL PLAYGROUND,FLEMING TOWER PARK PLAYGROUND,4016,"25 RANDOLPH ST, HALIFAX"
590,6,GENERAL PLAYGROUND,MICHAEL WALLACE ELEMENTARY SCHOOL PARK PLAYGROUND,5148,"24 ANDOVER ST, DARTMOUTH"
1450,5,TENNIS,UPLANDS PARK TENNIS COURT,2747,
1439,5,BASKETBALL FULL COURT,PROSPECT ROAD ELEMENTARY SCHOOL PARK BASKETBALL COURT,2939,
1431,5,NON STANDARD COURT,BEDFORD JUNIOR HIGH SCHOOL PARK BASKETBALL HOOPS,5103,
946,5,NON STANDARD COURT,SEAWOOD AVENUE PARK BASKETBALL HOOP,410,
969,5,BASKETBALL FULL COURT,WEIR PARK BASKETBALL COURT,2580,
1005,5,NON STANDARD COURT,THOMPSON DRIVE PARK BASKETBALL HOOP,2679,
772,5,NON STANDARD COURT,WILCOT LANE PARK BASKETBALL COURT,525,
1434,5,BASKETBALL FULL COURT,ROCKY LAKE JUNIOR HIGH SCHOOL PARK BASKETBALL COURT,5104,
776,5,TENNIS,MORASH PARK TENNIS COURT,108,
1098,5,TENNIS,TEACHERY PARK TENNIS COURT,2071,
1017,5,TENNIS,GREENHILL ROAD PARK TENNIS COURT,2768,
919,5,TENNIS,TREMONT PLATEAU PARK TENNIS COURT,2152,
943,5,BASKETBALL FULL COURT,SUNSET ACRES PARK BASKETBALL COURT,217,
1060,5,BASKETBALL FULL COURT,CONNAUGHT BATTERY PARK BASKETBALL COURT,517,
1448,5,BASKETBALL FULL COURT,TANTALLON ELEMENTARY (SENIOR) PARK BASKETBALL COURT,4007,
152,5,VOLLEYBALL,CUNARD JUNIOR HIGH SCHOOL PARK BEACH VOLLEYBALL,3495,
1421,5,BASKETBALL FULL COURT,SACKVILLE HEIGHTS ELEMENTARY SCHOOL PARK BASKETBALL COURT #2,5008,
1559,5,BALL HOCKEY,HARBOUR VIEW ELEMENTARY SCHOOL PARK GENERAL COURT,5017,
928,5,BASKETBALL FULL COURT,ROCKINGHAM ELEMENTARY SCHOOL PARK BASKETBALL COURT,4024,
1563,5,NON STANDARD COURT,ST PATRICKS ALEXANDRA SCHOOL PARK BASKETBALL HOOP dispose,5139,
1564,5,BASKETBALL FULL COURT,CHOCOLATE LAKE PARK BASKETBALL COURT,515,
988,5,BASKETBALL FULL COURT,MICMAC DRIVE PARK BASKETBALL COURT,3402,
1034,5,BASKETBALL FULL COURT,MEAGHERS GRANT PARK BASKETBALL COURT,429,
1432,5,BASKETBALL FULL COURT,BEDFORD LIONS PARK BASKETBALL COURT,2090,
1430,5,NON STANDARD COURT,WALKER AVENUE PARK BASKETBALL HOOP,506,
933,5,TENNIS,COLE HARBOUR COMPLEX TENNIS COURT,483,
833,5,BASKETBALL FULL COURT,ARNOLD WHITWORTH PARK BASKETBALL COURT,28,
984,5,TENNIS,HUBBARDS RECREATION CENTRE TENNIS COURT,456,
1138,5,BASKETBALL FULL COURT,ROSS ROAD SCHOOL PARK BASKETBALL COURT,5016,
1198,5,NON STANDARD COURT,MOUNT EDWARD ELEMENTARY SCHOOL PARK BASKETBALL COURT,5053,
1200,5,TENNIS,ROBERT DRIVE PARK TENNIS COURT,107,
702,6,GENERAL PLAYGROUND,GLENGARRY ESTATES PARK PLAYGROUND,3091,"311 CHARLES RD, TIMBERLEA"
1437,5,BASKETBALL FULL COURT,CATHERINE SMITH MEMORIAL BASKETBALL COURT,5084,
696,6,GENERAL PLAYGROUND,MANDAVILLE COURT PARK PLAYGROUND,2112,"17 MANDAVILLE CRT, HALIFAX"
494,6,GENERAL PLAYGROUND,BELVEDERE PARK PLAYGROUND,36,"2 BELVEDERE DR, DARTMOUTH"
712,6,GENERAL PLAYGROUND,SCOTT SAUNDERS MEMORIAL PARK PLAYGROUND,7,"8 MILLRUN CRES, BEDFORD"
